,Variable,F_Value,P_Value
0,carbought_0,1.2194855094857033,0.270
1,carbought_1,0.13800204992127277,0.710
2,carcatvalue_1,452.0112433258064,0.000
3,carcatvalue_2,41.08502626287592,0.000
4,carcatvalue_3,380.89243003561023,0.000
5,card2_2,28.745730729353063,0.000
6,card2_3,36.98355813102267,0.000
7,card2_4,18.45795602793849,0.000
8,card2_5,15.72732506583314,0.000
9,card2tenurecat_3,0.0034486789473993445,0.953
10,card_2,75.19531372182364,0.000
11,card_3,65.13264113817459,0.000
12,card_4,28.579781941718707,0.000
13,card_5,10.671054560095563,0.001
14,cardtenurecat_3,5.636266738793282,0.018
15,cardtenurecat_4,3.654704139693564,0.056
16,cardtenurecat_5,16.324764744893685,0.000
17,carown_0,129.6276486364261,0.000
18,carown_1,74.21230393441479,0.000
19,cartype_0,3.1635284468994675,0.075
20,cartype_1,1.0717048775694027,0.301
21,commute_10,1.0171762026899127,0.313
22,commute_2,0.29579368604836376,0.587
23,commute_3,1.1100052465591177,0.292
24,commute_4,5.087448293554614,0.024
25,commute_5,0.13949709619610018,0.709
26,commute_6,0.09369334436914413,0.760
27,commute_7,0.3149814245451149,0.575
28,commute_8,0.3732331710027346,0.541
29,commute_9,0.09840394223581134,0.754
30,commutecat_2,1.1100052465591177,0.292
31,commutecat_3,2.5427490780368185,0.111
32,commutecat_4,0.11488914209666225,0.735
33,commutecat_5,1.0171762026899127,0.313
34,inccat_2,22.51216350056012,0.000
35,inccat_3,56.9059465850439,0.000
36,inccat_4,163.6819794168598,0.000
37,inccat_5,281.04736120563297,0.000
38,marital_1,1.7133110253806654,0.191
39,owndvd_1,134.83236294945922,0.000
40,ownvcr_1,122.81641480271475,0.000
41,polview_7,0.9446283558981332,0.331
42,reason_2,116.62618426988708,0.000
43,reason_9,1.7174035901176357,0.190
44,retire_1,199.36694155831623,0.000
45,spousedcat_1,6.081800387298446,0.014
46,spousedcat_2,0.12154068708824582,0.727
47,spousedcat_3,3.0131740984960107,0.083
48,spousedcat_4,4.866300696866284,0.027
49,spousedcat_5,2.2124738548624565,0.137
