,carcatvalue_2,carcatvalue_3,card2_2,card2_3,card2_4,card2_5,card_2,card_3,card_4,card_5,cardtenurecat_3,cardtenurecat_5,carown_0,carown_1,commute_4,inccat_2,inccat_3,inccat_4,inccat_5,reason_2,retire_1,spousedcat_1,spousedcat_4,total_spend_bx,actual_total_spend,pred_total_spend,Deciles
1041,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8.655834032306636,278.2499999999998,421.52008631225857,5
42,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,9.437789590054352,391.1300000000005,403.0526376235594,5
542,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10.261452384246804,550.3799999999997,816.2247843021901,9
1105,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,7.248923324613171,144.10999999999996,386.0268219996701,4
2068,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.638223235218524,425.68999999999926,467.78706039604725,6
1383,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.6035446164126,419.52999999999986,497.04718973880875,6
4658,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,10.66051979931676,645.6600000000003,445.9392791061631,6
3201,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,11.099052424234408,766.3300000000007,361.46559932845133,4
1130,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.130113939364067,135.92000000000004,358.00350003186065,3
1489,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,10.8049460933277,683.4599999999999,292.82380935368485,1
3314,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,9.622851447334218,422.9500000000001,248.9470693449148,0
3384,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9.27884476465471,365.45999999999964,310.6256265630329,2
1905,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.307069889418738,369.9100000000002,355.3526472011341,3
897,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,11.152272782789984,782.21,730.4729909011212,9
2448,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,9.923030358254758,479.2800000000001,446.0790530624927,6
1532,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10.324685377109782,564.6199999999999,420.9370837537046,5
2009,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,8.281279089564565,234.9399999999998,333.3514861400955,3
4577,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,8.744511116855062,289.44999999999965,371.638561579447,4
4892,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,9.506640675466414,402.71999999999997,404.6448772323176,5
4365,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,9.302459715319513,369.17999999999995,296.00337608922644,1
2683,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.565958926749763,412.94000000000017,430.5586073817175,5
4097,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9.11104813780706,339.93999999999977,460.9139222063844,6
1669,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.808823390523035,188.6500000000002,300.11980350009674,2
409,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.463438697848064,255.22000000000017,473.6888283412987,6
2622,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,9.556640712066692,411.3199999999999,571.2591199610138,8
4360,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,10.497381006598866,605.1299999999999,585.039577545608,8
2177,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.561308714438106,167.69000000000003,320.18177646303076,2
1987,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.515124569561247,58.19760000000002,318.91616191767,2
2442,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.005221782503146,495.7799999999999,569.6357913210658,7
3234,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9.939911717256754,482.63000000000045,295.83653957169724,1
4045,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,9.556122112205305,411.23,337.30578611896965,3
2345,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,8.196281550653259,225.95999999999984,322.23943916134266,2
617,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,11.770893221145228,988.5200000000007,383.84181749377404,4
3381,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.80102774124092,682.4100000000002,612.5002274148387,8
2891,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,9.249034767209512,360.81000000000006,612.9974882865423,8
4128,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.984624183077509,491.6000000000002,338.4395770834087,3
16,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,9.503411978629677,402.16999999999956,521.051326794609,7
3736,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,13.055730998790805,1569.7199999999987,474.5916948085946,6
866,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.760270613382696,671.57,510.0265734688899,7
777,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,9.82108576133023,459.4700000000004,571.4319279635504,8
1543,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9.411071301423712,386.7100000000001,320.1746326253931,2
652,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,11.334194944035689,838.6400000000004,943.8392803602418,9
1733,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,13.27490021657058,1693.5200000000002,626.8509536334914,8
2416,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10.480111080161398,600.9700000000004,558.8035676320478,7
491,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,9.697232311567854,436.3500000000001,418.6924480033427,5
3847,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10.533499197406616,613.9099999999999,582.5333009928484,8
2860,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.15515578796516,82.47000000000004,264.08023993874684,1
4537,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10.766472838028083,673.2100000000007,513.7628369730036,7
1149,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,9.69695842995272,436.2999999999999,211.67866179740034,0
116,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,8.181996232788242,224.48,330.3156569133329,3
2158,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,10.2696564743538,552.2099999999997,232.567803321143,0
1488,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8.546300143057687,264.9300000000001,395.9784315783119,4
3129,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8.492241105509125,258.56000000000034,363.3539326676491,4
401,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10.003994059450614,495.5300000000002,393.4744143941723,4
3269,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.0179587621196,498.3800000000011,371.68873236428493,4
96,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,11.722485341903871,970.85,348.3166655850881,3
1820,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,9.41562331486548,387.4599999999999,352.7342761617434,3
4207,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.588719536187911,416.92000000000047,302.60157205758316,2
4151,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7.957727444312098,202.31000000000006,263.88194532114636,1
2855,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10.217663124747046,540.6999999999996,943.8392803602418,9
1935,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9.480053044170017,398.20999999999975,308.6942996779302,2
1995,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.437488796632021,391.0799999999996,333.3823511061379,3
2599,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10.206656699112473,538.2900000000002,487.9225974401851,6
2819,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.610308066585179,104.60000000000002,338.4395770834087,3
2140,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.86775520467386,468.44999999999993,303.784871077012,2
2301,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,10.514055688846733,609.17,274.48817833797506,1
3312,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.236047175503808,358.79999999999995,525.618513519503,7
4872,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.252749511034393,812.9599999999997,431.7982874925026,5
1881,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,9.41076756503738,386.6599999999998,439.1824026409832,5
3059,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,10.320421691773346,563.6500000000001,395.4332889300342,4
1673,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,11.301218682997117,828.1599999999997,421.52008631225857,5
4679,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.965674922532562,319.07999999999976,456.11322991941944,6
3371,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8.94756587033624,316.5599999999997,411.09688358016007,5
4699,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.190720035710152,351.8600000000007,481.0333339920555,6
